algorithm,display_name,case_id,dimension,status,psnr,ssim,ssim_definition,runtime_seconds,data_range,measurement_min,measurement_handling,parameters,reason
fbp,FBP,parallel_2d/tissue_breast_dense_clean_128,2,success,19.167774200439453,0.7218565344810486,2d_ssim,0.03419476468116045,0.004,0.0,,{},
sirt,SIRT,parallel_2d/tissue_breast_dense_clean_128,2,success,19.652172088623047,0.7582916021347046,2d_ssim,5.432484742254019,0.004,0.0,,"{""num_iterations"": 100}",
landweber,Landweber,parallel_2d/tissue_breast_dense_clean_128,2,success,19.067312240600586,0.7199844121932983,2d_ssim,10.810562303289771,0.004,0.0,,"{""num_iterations"": 200, ""step_size"": 0.0001}",
cgls,CGLS,parallel_2d/tissue_breast_dense_clean_128,2,success,19.955371856689453,0.7629448175430298,2d_ssim,8.050154967233539,0.004,0.0,,"{""num_iterations"": 100}",
lsqr,LSQR,parallel_2d/tissue_breast_dense_clean_128,2,success,18.62164306640625,0.4053688049316406,2d_ssim,2.057490272447467,0.004,0.0,,"{""num_iterations"": 25}",
sart,SART,parallel_2d/tissue_breast_dense_clean_128,2,success,18.804887771606445,0.6716572046279907,2d_ssim,3.4239760767668486,0.004,0.0,,"{""block_size"": 1, ""num_iterations"": 20, ""relaxation"": 0.5}",
os_sart,OS-SART,parallel_2d/tissue_breast_dense_clean_128,2,success,19.633132934570312,0.7527433633804321,2d_ssim,2.243755294010043,0.004,0.0,,"{""num_iterations"": 20, ""relaxation"": 0.5, ""subset_count"": 10}",
mlem,MLEM,parallel_2d/tissue_breast_dense_clean_128,2,success,18.814054489135742,0.7489628791809082,2d_ssim,5.41513920109719,0.004,0.0,solver_internal_nonnegative_clamp,"{""num_iterations"": 100}",
osem,OSEM,parallel_2d/tissue_breast_dense_clean_128,2,success,18.61773681640625,0.7267062664031982,2d_ssim,2.1093266317620873,0.004,0.0,solver_internal_nonnegative_clamp,"{""num_iterations"": 25, ""subset_count"": 10}",
tikhonov,Tikhonov,parallel_2d/tissue_breast_dense_clean_128,2,success,18.439598083496094,0.3672652244567871,2d_ssim,5.673502620309591,0.004,0.0,,"{""num_iterations"": 100, ""reg_strength"": 0.001}",
tv_fista,TV-FISTA,parallel_2d/tissue_breast_dense_clean_128,2,success,18.824695587158203,0.7182425260543823,2d_ssim,3.266069296747446,0.004,0.0,,"{""num_iterations"": 50, ""reg_strength"": 0.0001}",
fbp,FBP,parallel_2d/tissue_breast_sparse_poisson_128,2,success,18.754207611083984,0.4520725607872009,2d_ssim,0.010036000981926918,0.004,-0.002203062642365694,,{},
sirt,SIRT,parallel_2d/tissue_breast_sparse_poisson_128,2,success,19.610307693481445,0.6761044859886169,2d_ssim,1.5429277839139104,0.004,-0.002203062642365694,,"{""num_iterations"": 100}",
landweber,Landweber,parallel_2d/tissue_breast_sparse_poisson_128,2,success,19.70613670349121,0.6813000440597534,2d_ssim,3.041458999738097,0.004,-0.002203062642365694,,"{""num_iterations"": 200, ""step_size"": 0.0001}",
cgls,CGLS,parallel_2d/tissue_breast_sparse_poisson_128,2,success,20.008010864257812,0.7106550931930542,2d_ssim,2.3199678836390376,0.004,-0.002203062642365694,,"{""num_iterations"": 100}",
lsqr,LSQR,parallel_2d/tissue_breast_sparse_poisson_128,2,success,18.823572158813477,0.31724807620048523,2d_ssim,0.5945548452436924,0.004,-0.002203062642365694,,"{""num_iterations"": 25}",
sart,SART,parallel_2d/tissue_breast_sparse_poisson_128,2,success,18.85494613647461,0.5995905995368958,2d_ssim,0.971806425601244,0.004,-0.002203062642365694,,"{""block_size"": 1, ""num_iterations"": 20, ""relaxation"": 0.5}",
os_sart,OS-SART,parallel_2d/tissue_breast_sparse_poisson_128,2,success,19.461563110351562,0.6663742065429688,2d_ssim,0.7061561811715364,0.004,-0.002203062642365694,,"{""num_iterations"": 20, ""relaxation"": 0.5, ""subset_count"": 10}",
mlem,MLEM,parallel_2d/tissue_breast_sparse_poisson_128,2,success,18.75014305114746,0.6539000272750854,2d_ssim,1.547845191322267,0.004,-0.002203062642365694,solver_internal_nonnegative_clamp,"{""num_iterations"": 100}",
osem,OSEM,parallel_2d/tissue_breast_sparse_poisson_128,2,success,18.370187759399414,0.5759670734405518,2d_ssim,0.6518117822706699,0.004,-0.002203062642365694,solver_internal_nonnegative_clamp,"{""num_iterations"": 25, ""subset_count"": 10}",
