case_id,data_residual,dimension,psnr,relative_error,rmse,runtime_seconds,schema_version,solver,ssim,ssim_definition,status
parallel_2d/tissue_breast_dense_clean_128,0.027348360046744347,2,19.167774200439453,0.2916581630706787,0.0004402215126901865,2.2820169888436794,1,fbp,0.7218496799468994,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.027767065912485123,2,18.75420570373535,0.3058811128139496,0.00046168919652700424,0.013086391612887383,1,fbp,0.45207130908966064,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.1513073593378067,2,14.785329818725586,0.4830546975135803,0.0007291107322089374,0.02226089220494032,1,fbp,0.5735364556312561,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.019590171054005623,2,20.688282012939453,0.24482105672359467,0.0003695267951115966,1.4953311728313565,1,sirt,0.7532662153244019,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.01959390379488468,2,20.67034149169922,0.2453271895647049,0.0003702907415572554,0.4005279066041112,1,sirt,0.7398939728736877,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.02243180014193058,2,19.302597045898438,0.2871659994125366,0.0004334411642048508,0.9924630094319582,1,sirt,0.6300413608551025,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.381543904542923,2,15.479887008666992,0.44593188166618347,0.000673078466206789,2.866796512156725,1,landweber,0.7176437377929688,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.02109852060675621,2,20.763185501098633,0.2427189201116562,0.0003663538082037121,0.7683130577206612,1,landweber,0.7169893383979797,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.012441440485417843,2,19.363920211791992,0.28514569997787476,0.0004303917521610856,1.9168405001983047,1,landweber,0.6546709537506104,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.011351343244314194,2,20.230606079101562,0.2580670118331909,0.0003895199333783239,2.193090658634901,1,cgls,0.7660928964614868,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.011469283141195774,2,20.234708786010742,0.25794517993927,0.0003893359680660069,0.5907740760594606,1,cgls,0.727490246295929,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.0210045725107193,2,19.39505386352539,0.2841254770755768,0.0004288518684916198,1.462559973821044,1,cgls,0.6359529495239258,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.03630411997437477,2,18.62164306640625,0.3105851709842682,0.0004687894834205508,2.186769316904247,1,lsqr,0.4053666293621063,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.03740668296813965,2,18.823572158813477,0.3034479022026062,0.00045801675878465176,0.5967331398278475,1,lsqr,0.3172508478164673,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.06492682546377182,2,18.29281997680664,0.322568416595459,0.0004868767282459885,1.466057795099914,1,lsqr,0.3773619532585144,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.00841421727091074,2,19.707324981689453,0.2740921974182129,0.00041370789404027164,0.9412910407409072,1,sart,0.7478662729263306,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.02022729627788067,2,20.670059204101562,0.24533525109291077,0.00037030287785455585,0.2453338075429201,1,sart,0.7164647579193115,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.015023758634924889,2,19.268869400024414,0.28828325867652893,0.0004351275274530053,0.6108444379642606,1,sart,0.6426979303359985,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.07725195586681366,2,19.207754135131836,0.2903187870979309,0.0004381999315228313,0.5966479759663343,1,os_sart,0.5175778865814209,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.06470158696174622,2,19.636686325073242,0.2763303518295288,0.0004170860047452152,0.1789658572524786,1,os_sart,0.5361851453781128,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.08421045541763306,2,17.262493133544922,0.3631935715675354,0.0005481953267008066,0.40334155410528183,1,os_sart,0.5349099040031433,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.008986146189272404,2,19.677711486816406,0.27502819895744324,0.0004151207103859633,1.4621686851605773,1,mlem,0.7712161540985107,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.009250836446881294,2,19.68623924255371,0.2747581899166107,0.00041471340227872133,0.39465238992124796,1,mlem,0.7511321306228638,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.01661544106900692,2,19.015398025512695,0.2968198359012604,0.0004480124916881323,0.9847450517117977,1,mlem,0.7011544108390808,2d_ssim,success
parallel_2d/tissue_breast_dense_clean_128,0.005514985416084528,2,18.61773681640625,0.31072479486465454,0.00046900034067220986,2.254896402359009,1,osem,0.7267134785652161,2d_ssim,success
parallel_2d/tissue_breast_sparse_poisson_128,0.0039259083569049835,2,18.37018585205078,0.3197080194950104,0.00048255929141305387,0.6565956929698586,1,osem,0.5759692192077637,2d_ssim,success
parallel_2d/tissue_breast_limited_angle_128,0.005965433549135923,2,18.718360900878906,0.307145893573761,0.00046359843690879643,1.5198782347142696,1,osem,0.6906864047050476,2d_ssim,success
